"Player","Position"
"Malcolm Ebiowei","RW"
"Mamadou Sakho","CB"
"Mame Biram Diouf","FW"
"Manolo Gabbiadini","FW"
"Manor Solomon","LW"
"Manuel Lanzini","AM"
"Marc Albrighton","RW"
"Marc Cucurella","LB"
"Marc Guéhi","CB"
"Marc Navarro","RB"
"Marc Pugh","LM"
"Marc Roca","DM"
"Marco Stiepermann","AM"
"Marcos Alonso","WB"
"Marcos Rojo","CB"
"Marcos Senesi","CB"
"Marcus Bettinelli","GK"
"Marcus Forss","FW"
"Marcus Rashford","LW"
"Marcus Tavernier","RW"
"Marek Rodák","GK"
"Mario Lemina","DM"
"Mario Vrančić","DM"
"Mark Noble","CM"
"Mark Travers","GK"
"Marko Arnautović","FW"
"Marko Grujić","CM"
"Markus Suttner","LB"
"Marouane Fellaini","DM"
"Martin Cranie","CB"
"Martin Dúbravka","GK"
"Martin Kelly","CB"
"Martín Montoya","RB"
"Martin Ødegaard","AM"
"Martin Olsson","LB"
"Martinelli","LW"
"Marvelous Nakamba","DM"
"Marvin Zeegelaar","WB"
"Mason Greenwood","RW"
"Mason Holgate","CB"
"Mason Mount","AM"
"Massadio Haïdara","DM"
"Matěj Vydra","FW"
"Mateo Kovačić","CM"
"Mateusz Klich","CM"
"Matheus Nunes","CM"
"Matheus Pereira","AM"
"Mathew Ryan","GK"
"Mathias Jensen","CM"
"Mathias Jørgensen","CB"
"Mathias Normann","DM"
"Matt Doherty","WB"
"Matt Phillips","RM"
"Matt Ritchie","WB"
"Matt Targett","LB"
"Matteo Darmian","RB"
"Mattéo Guendouzi","DM"
"Matthew Longstaff","DM"
"Matthew Lowton","RB"
"Matty Cash","RB"
"Matty Daly","DM"
"Matty James","DM"
"Max Aarons","RB"
"Max Kilman","CB"
"Max Lowe","WB"
"Max Meyer","LM"
"Max Thompson","FW"
"Maxime Le Marchand","CB"
"Maxwel Cornet","FW"
"Maya Yoshida","CB"
"Mbaye Diagne","FW"
"Mbwana Samatta","FW"
"Mesut Özil","AM"
"Michael Carrick","DM"
"Michael Hector","CB"
"Michael Hefele","CB"
"Michael Keane","CB"
"Michael McGovern","GK"
"Michael Obafemi","FW"
"Michael Olise","RW"
"Michail Antonio","FW"
"Michel Vorm","GK"
"Michy Batshuayi","FW"
"Miguel Almirón","RW"
"Miguel Britos","CB"
"Mike van der Hoorn","CB"
"Mikel Merino","DM"
"Milot Rashica","LW"
"Mohamed Diamé","DM"
"Mohamed Elneny","DM"
"Mohamed Elyounoussi","LM"
"Mohamed Salah","RW"
"Mohammed Salisu","CB"
"Moise Kean","FW"
"Moisés Caicedo","CM"
"Molla Wagué","CB"
"Morgan Gibbs-White","CM"
"Morgan Sanson","CM"
"Morgan Schneiderlin","DM"
"Moritz Bauer","RB"
"Moritz Leitner","CM"
"Mousa Dembélé","DM"
"Moussa Djenepo","LM"
"Moussa Niakhate","CB"
"Moussa Sissoko","CM"
"Muhamed Bešić","CM"
"N'Golo Kanté","DM"
"Nabil Bentaleb","DM"
"Naby Keïta","CM"
"Nacer Chadli","LM"
"Nacho Monreal","CB"
"Nahki Wells","FW"
"Nampalys Mendy","DM"
"Nathan Aké","CB"
"Nathan Broadhead","DM"
"Nathan Collins","CB"
"Nathan Dyer","RW"
"Nathan Ferguson","LB"
"Nathan Holland","LM"
"Nathan Patterson","WB"
"Nathan Redmond","LM"
"Nathan Tella","FW"
"Nathan Young-Coombes","RW"
"Nathaniel Chalobah","DM"
"Nathaniel Clyne","RB"
"Nathaniel Mendez-Laing","RM"
"Nathaniel Phillips","CB"
"Neal Maupay","FW"
"Neco Williams","RB"
"Neeskens Kebano","RW"
"Neil Etheridge","GK"
"Neil Taylor","LB"
"Nélson Semedo","WB"
"Nemanja Matić","DM"
"Niall Huggins","RB"
"Nick Pope","GK"
"Nicolas Nkoulou","CB"
"Nicolás Otamendi","CB"
"Nicolas Pépé","RW"
"Niels Nkounkou","LB"
"Nikola Vlašić","RW"
"Nohan Kenneh","MF"
"Nordin Amrabat","RW"
"Nuno Tavares","LB"
"Odion Ighalo","FW"
"Odsonne Édouard","FW"
"Oghenekaro Etebo","DM"
"Okay Yokuşlu","DM"
"Ola Aina","RB"
"Oleksandr Zinchenko","LB"
